title,abstract,field,
On the vulnerability of fingerprint verification systems to fake fingerprint attacks,"A new method to generate gummy fingers is presented. A medium-size fake
fingerprint database is described and two different fingerprint verification
systems are evaluated on it. Three different scenarios are considered in the
experiments, namely: enrollment and test with real fingerprints, enrollment and
test with fake fingerprints, and enrollment with real fingerprints and test
with fake fingerprints. Results for an optical and a thermal sweeping sensors
are given. Both systems are shown to be vulnerable to direct attacks.",fake fingerprint attacks,
"Benchmarking zero-shot and few-shot approaches for tokenization, tagging, and dependency parsing of Tagalog text","The grammatical analysis of texts in any written language typically involves
a number of basic processing tasks, such as tokenization, morphological
tagging, and dependency parsing. State-of-the-art systems can achieve high
accuracy on these tasks for languages with large datasets, but yield poor
results for languages which have little to no annotated data. To address this
issue for the Tagalog language, we investigate the use of alternative language
resources for creating task-specific models in the absence of
dependency-annotated Tagalog data. We also explore the use of word embeddings
and data augmentation to improve performance when only a small amount of
annotated Tagalog data is available. We show that these zero-shot and few-shot
approaches yield substantial improvements on grammatical analysis of both
in-domain and out-of-domain Tagalog text compared to state-of-the-art
supervised baselines.",Tagalog text processing,
Fairness in generative modeling,"We design general-purpose algorithms for addressing fairness issues and mode
collapse in generative modeling. More precisely, to design fair algorithms for
as many sensitive variables as possible, including variables we might not be
aware of, we assume no prior knowledge of sensitive variables: our algorithms
use unsupervised fairness only, meaning no information related to the sensitive
variables is used for our fairness-improving methods. All images of faces (even
generated ones) have been removed to mitigate legal risks.",generative modeling,
A Variational Approach for Joint Image Recovery and Feature Extraction Based on Spatially-Varying Generalised Gaussian Models,"The joint problem of reconstruction / feature extraction is a challenging
task in image processing. It consists in performing, in a joint manner, the
restoration of an image and the extraction of its features. In this work, we
firstly propose a novel nonsmooth and non-convex variational formulation of the
problem. For this purpose, we introduce a versatile generalised Gaussian prior
whose parameters, including its exponent, are space-variant. Secondly, we
design an alternating proximal-based optimisation algorithm that efficiently
exploits the structure of the proposed non-convex objective function. We also
analyse the convergence of this algorithm. As shown in numerical experiments
conducted on joint deblurring/segmentation tasks, the proposed method provides
high-quality results.",image recovery,
Goal-directed Planning and Goal Understanding by Active Inference: Evaluation Through Simulated and Physical Robot Experiments,"We show that goal-directed action planning and generation in a teleological
framework can be formulated using the free energy principle. The proposed
model, which is built on a variational recurrent neural network model, is
characterized by three essential features. These are that (1) goals can be
specified for both static sensory states, e.g., for goal images to be reached
and dynamic processes, e.g., for moving around an object, (2) the model can not
only generate goal-directed action plans, but can also understand goals by
sensory observation, and (3) the model generates future action plans for given
goals based on the best estimate of the current state, inferred using past
sensory observations. The proposed model is evaluated by conducting experiments
on a simulated mobile agent as well as on a real humanoid robot performing
object manipulation.",action planning,
BOS at LSCDiscovery: Lexical Substitution for Interpretable Lexical Semantic Change Detection,"We propose a solution for the LSCDiscovery shared task on Lexical Semantic
Change Detection in Spanish. Our approach is based on generating lexical
substitutes that describe old and new senses of a given word. This approach
achieves the second best result in sense loss and sense gain detection
subtasks. By observing those substitutes that are specific for only one time
period, one can understand which senses were obtained or lost. This allows
providing more detailed information about semantic change to the user and makes
our method interpretable.",lexical semantic change detection,
Learning to Find Proofs and Theorems by Learning to Refine Search Strategies: The Case of Loop Invariant Synthesis,"We propose a new approach to automated theorem proving where an
AlphaZero-style agent is self-training to refine a generic high-level expert
strategy expressed as a nondeterministic program. An analogous teacher agent is
self-training to generate tasks of suitable relevance and difficulty for the
learner. This allows leveraging minimal amounts of domain knowledge to tackle
problems for which training data is unavailable or hard to synthesize. As a
specific illustration, we consider loop invariant synthesis for imperative
programs and use neural networks to refine both the teacher and solver
strategies.",Automated Theorem Proving,
Post-Train Adaptive MobileNet for Fast Anti-Spoofing,"Many applications require high accuracy of neural networks as well as low
latency and user data privacy guaranty. Face anti-spoofing is one of such
tasks. However, a single model might not give the best results for different
device performance categories, while training multiple models is time
consuming. In this work we present Post-Train Adaptive (PTA) block. Such a
block is simple in structure and offers a drop-in replacement for the
MobileNetV2 Inverted Residual block. The PTA block has multiple branches with
different computation costs. The branch to execute can be selected on-demand
and at runtime; thus, offering different inference times and configuration
capability for multiple device tiers. Crucially, the model is trained once and
can be easily reconfigured after training, even directly on a mobile device. In
addition, the proposed approach shows substantially better overall performance
in comparison to the original MobileNetV2 as tested on CelebA-Spoof dataset.
Different PTA block configurations are sampled at training time, which also
decreases overall wall-clock time needed to train the model. While we present
computational results for the anti-spoofing problem, the MobileNetV2 with PTA
blocks is applicable to any problem solvable with convolutional neural
networks, which makes the results presented practically significant.",Face anti-spoofing,
Backtracking Counterfactuals,"Counterfactual reasoning -- envisioning hypothetical scenarios, or possible
worlds, where some circumstances are different from what (f)actually occurred
(counter-to-fact) -- is ubiquitous in human cognition. Conventionally,
counterfactually-altered circumstances have been treated as ""small miracles""
that locally violate the laws of nature while sharing the same initial
conditions. In Pearl's structural causal model (SCM) framework this is made
mathematically rigorous via interventions that modify the causal laws while the
values of exogenous variables are shared. In recent years, however, this purely
interventionist account of counterfactuals has increasingly come under scrutiny
from both philosophers and psychologists. Instead, they suggest a backtracking
account of counterfactuals, according to which the causal laws remain unchanged
in the counterfactual world; differences to the factual world are instead
""backtracked"" to altered initial conditions (exogenous variables). In the
present work, we explore and formalise this alternative mode of counterfactual
reasoning within the SCM framework. Despite ample evidence that humans
backtrack, the present work constitutes, to the best of our knowledge, the
first general account and algorithmisation of backtracking counterfactuals. We
discuss our backtracking semantics in the context of related literature and
draw connections to recent developments in explainable artificial intelligence
(XAI).",Counterfactual reasoning,
DocAsRef: An Empirical Study on Repurposing Reference-Based Summary Quality Metrics Reference-Freely,"Automated summary quality assessment falls into two categories:
reference-based and reference-free. Reference-based metrics, historically
deemed more accurate due to the additional information provided by
human-written references, are limited by their reliance on human input. In this
paper, we hypothesize that the comparison methodologies used by some
reference-based metrics to evaluate a system summary against its corresponding
reference can be effectively adapted to assess it against its source document,
thereby transforming these metrics into reference-free ones. Experimental
results support this hypothesis. After being repurposed reference-freely, the
zero-shot BERTScore using the pretrained DeBERTa-large-MNLI model of <0.5B
parameters consistently outperforms its original reference-based version across
various aspects on the SummEval and Newsroom datasets. It also excels in
comparison to most existing reference-free metrics and closely competes with
zero-shot summary evaluators based on GPT-3.5.",summary quality assessment,
NeROIC: Neural Rendering of Objects from Online Image Collections,"We present a novel method to acquire object representations from online image
collections, capturing high-quality geometry and material properties of
arbitrary objects from photographs with varying cameras, illumination, and
backgrounds. This enables various object-centric rendering applications such as
novel-view synthesis, relighting, and harmonized background composition from
challenging in-the-wild input. Using a multi-stage approach extending neural
radiance fields, we first infer the surface geometry and refine the coarsely
estimated initial camera parameters, while leveraging coarse foreground object
masks to improve the training efficiency and geometry quality. We also
introduce a robust normal estimation technique which eliminates the effect of
geometric noise while retaining crucial details. Lastly, we extract surface
material properties and ambient illumination, represented in spherical
harmonics with extensions that handle transient elements, e.g. sharp shadows.
The union of these components results in a highly modular and efficient object
acquisition framework. Extensive evaluations and comparisons demonstrate the
advantages of our approach in capturing high-quality geometry and appearance
properties useful for rendering applications.",neural rendering,
Intra and Cross-spectrum Iris Presentation Attack Detection in the NIR and Visible Domains,"Iris Presentation Attack Detection (PAD) is essential to secure iris
recognition systems. Recent iris PAD solutions achieved good performance by
leveraging deep learning techniques. However, most results were reported under
intra-database scenarios and it is unclear if such solutions can generalize
well across databases and capture spectra. These PAD methods run the risk of
overfitting because of the binary label supervision during the network
training, which serves global information learning but weakens the capture of
local discriminative features. This chapter presents a novel attention-based
deep pixel-wise binary supervision (A-PBS) method. A-PBS utilizes pixel-wise
supervision to capture the fine-grained pixel/patch-level cues and attention
mechanism to guide the network to automatically find regions where most
contribute to an accurate PAD decision. Extensive experiments are performed on
six NIR and one visible-light iris databases to show the effectiveness and
robustness of proposed A-PBS methods. We additionally conduct extensive
experiments under intra-/cross-database and intra-/cross-spectrum for detailed
analysis. The results of our experiments indicates the generalizability of the
A-PBS iris PAD approach.",iris presentation attack detection,
Attention Mechanism Meets with Hybrid Dense Network for Hyperspectral Image Classification,"Convolutional Neural Networks (CNN) are more suitable, indeed. However, fixed
kernel sizes make traditional CNN too specific, neither flexible nor conducive
to feature learning, thus impacting on the classification accuracy. The
convolution of different kernel size networks may overcome this problem by
capturing more discriminating and relevant information. In light of this, the
proposed solution aims at combining the core idea of 3D and 2D Inception net
with the Attention mechanism to boost the HSIC CNN performance in a hybrid
scenario. The resulting \textit{attention-fused hybrid network} (AfNet) is
based on three attention-fused parallel hybrid sub-nets with different kernels
in each block repeatedly using high-level features to enhance the final
ground-truth maps. In short, AfNet is able to selectively filter out the
discriminative features critical for classification. Several tests on HSI
datasets provided competitive results for AfNet compared to state-of-the-art
models. The proposed pipeline achieved, indeed, an overall accuracy of 97\% for
the Indian Pines, 100\% for Botswana, 99\% for Pavia University, Pavia Center,
and Salinas datasets.",hyperspectral image classification,
A Framework for CSI-Based Indoor Localization with 1D Convolutional Neural Networks,"Modern indoor localization techniques are essential to overcome the weak GPS
coverage in indoor environments. Recently, considerable progress has been made
in Channel State Information (CSI) based indoor localization with signal
fingerprints. However, CSI signal patterns can be complicated in the large and
highly dynamic indoor spaces with complex interiors, thus a solution for
solving this issue is urgently needed to expand the applications of CSI to a
broader indoor space. In this paper, we propose an end-to-end solution
including data collection, pattern clustering, denoising, calibration and a
lightweight one-dimensional convolutional neural network (1D CNN) model with
CSI fingerprinting to tackle this problem. We have also created and plan to
open source a CSI dataset with a large amount of data collected across complex
indoor environments at Colorado State University. Experiments indicate that our
approach achieves up to 68.5% improved performance (mean distance error) with
minimal number of parameters, compared to the best-known deep machine learning
and CSI-based indoor localization works.",CSI-based indoor localization,
A Feasibility Study of Answer-Agnostic Question Generation for Education,"We conduct a feasibility study into the applicability of answer-agnostic
question generation models to textbook passages. We show that a significant
portion of errors in such systems arise from asking irrelevant or
uninterpretable questions and that such errors can be ameliorated by providing
summarized input. We find that giving these models human-written summaries
instead of the original text results in a significant increase in acceptability
of generated questions (33% $\rightarrow$ 83%) as determined by expert
annotators. We also find that, in the absence of human-written summaries,
automatic summarization can serve as a good middle ground.",answer-agnostic question generation,
A Unified Granular-ball Learning Model of Pawlak Rough Set and Neighborhood Rough Set,"Pawlak rough set and neighborhood rough set are the two most common rough set
theoretical models. Pawlak can use equivalence classes to represent knowledge,
but it cannot process continuous data; neighborhood rough sets can process
continuous data, but it loses the ability of using equivalence classes to
represent knowledge. To this end, this paper presents a granular-ball rough set
based on the granular-ball computing. The granular-ball rough set can
simultaneously represent Pawlak rough sets, and the neighborhood rough set, so
as to realize the unified representation of the two. This makes the
granular-ball rough set not only can deal with continuous data, but also can
use equivalence classes for knowledge representation. In addition, we propose
an implementation algorithms of granular-ball rough sets. The experimental
results on benchmark datasets demonstrate that, due to the combination of the
robustness and adaptability of the granular-ball computing, the learning
accuracy of the granular-ball rough set has been greatly improved compared with
the Pawlak rough set and the traditional neighborhood rough set. The
granular-ball rough set also outperforms nine popular or the state-of-the-art
feature selection methods.",granular-ball learning,
Image Reconstruction of Multi Branch Feature Multiplexing Fusion Network with Mixed Multi-layer Attention,"Image super-resolution reconstruction achieves better results than
traditional methods with the help of the powerful nonlinear representation
ability of convolution neural network. However, some existing algorithms also
have some problems, such as insufficient utilization of phased features,
ignoring the importance of early phased feature fusion to improve network
performance, and the inability of the network to pay more attention to
high-frequency information in the reconstruction process. To solve these
problems, we propose a multi-branch feature multiplexing fusion network with
mixed multi-layer attention (MBMFN), which realizes the multiple utilization of
features and the multistage fusion of different levels of features. To further
improve the networks performance, we propose a lightweight enhanced residual
channel attention (LERCA), which can not only effectively avoid the loss of
channel information but also make the network pay more attention to the key
channel information and benefit from it. Finally, the attention mechanism is
introduced into the reconstruction process to strengthen the restoration of
edge texture and other details. A large number of experiments on several
benchmark sets show that, compared with other advanced reconstruction
algorithms, our algorithm produces highly competitive objective indicators and
restores more image detail texture information.",image super-resolution reconstruction,
SPACE-3: Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,"Recently, pre-training methods have shown remarkable success in task-oriented
dialog (TOD) systems. However, most existing pre-trained models for TOD focus
on either dialog understanding or dialog generation, but not both. In this
paper, we propose SPACE-3, a novel unified semi-supervised pre-trained
conversation model learning from large-scale dialog corpora with limited
annotations, which can be effectively fine-tuned on a wide range of downstream
dialog tasks. Specifically, SPACE-3 consists of four successive components in a
single transformer to maintain a task-flow in TOD systems: (i) a dialog
encoding module to encode dialog history, (ii) a dialog understanding module to
extract semantic vectors from either user queries or system responses, (iii) a
dialog policy module to generate a policy vector that contains high-level
semantics of the response, and (iv) a dialog generation module to produce
appropriate responses. We design a dedicated pre-training objective for each
component. Concretely, we pre-train the dialog encoding module with span mask
language modeling to learn contextualized dialog information. To capture the
structured dialog semantics, we pre-train the dialog understanding module via a
novel tree-induced semi-supervised contrastive learning objective with the help
of extra dialog annotations. In addition, we pre-train the dialog policy module
by minimizing the L2 distance between its output policy vector and the semantic
vector of the response for policy optimization. Finally, the dialog generation
model is pre-trained by language modeling. Results show that SPACE-3 achieves
state-of-the-art performance on eight downstream dialog benchmarks, including
intent prediction, dialog state tracking, and end-to-end dialog modeling. We
also show that SPACE-3 has a stronger few-shot ability than existing models
under the low-resource setting.",task-oriented dialog,
The YiTrans End-to-End Speech Translation System for IWSLT 2022 Offline Shared Task,"This paper describes the submission of our end-to-end YiTrans speech
translation system for the IWSLT 2022 offline task, which translates from
English audio to German, Chinese, and Japanese. The YiTrans system is built on
large-scale pre-trained encoder-decoder models. More specifically, we first
design a multi-stage pre-training strategy to build a multi-modality model with
a large amount of labeled and unlabeled data. We then fine-tune the
corresponding components of the model for the downstream speech translation
tasks. Moreover, we make various efforts to improve performance, such as data
filtering, data augmentation, speech segmentation, model ensemble, and so on.
Experimental results show that our YiTrans system obtains a significant
improvement than the strong baseline on three translation directions, and it
achieves +5.2 BLEU improvements over last year's optimal end-to-end system on
tst2021 English-German. Our final submissions rank first on English-German and
English-Chinese end-to-end systems in terms of the automatic evaluation metric.
We make our code and models publicly available.",speech translation,
Wasserstein Graph Distance Based on $L_1$-Approximated Tree Edit Distance between Weisfeiler-Lehman Subtrees,"The Weisfeiler-Lehman (WL) test is a widely used algorithm in graph machine
learning, including graph kernels, graph metrics, and graph neural networks.
However, it focuses only on the consistency of the graph, which means that it
is unable to detect slight structural differences. Consequently, this limits
its ability to capture structural information, which also limits the
performance of existing models that rely on the WL test. This limitation is
particularly severe for traditional metrics defined by the WL test, which
cannot precisely capture slight structural differences. In this paper, we
propose a novel graph metric called the Wasserstein WL Subtree (WWLS) distance
to address this problem. Our approach leverages the WL subtree as structural
information for node neighborhoods and defines node metrics using the
$L_1$-approximated tree edit distance ($L_1$-TED) between WL subtrees of nodes.
Subsequently, we combine the Wasserstein distance and the $L_1$-TED to define
the WWLS distance, which can capture slight structural differences that may be
difficult to detect using conventional metrics. We demonstrate that the
proposed WWLS distance outperforms baselines in both metric validation and
graph classification experiments.",Graph Metric,
Automatic Rule Induction for Interpretable Semi-Supervised Learning,"Semi-supervised learning has shown promise in allowing NLP models to
generalize from small amounts of labeled data. Meanwhile, pretrained
transformer models act as black-box correlation engines that are difficult to
explain and sometimes behave unreliably. In this paper, we propose tackling
both of these challenges via Automatic Rule Induction (ARI), a simple and
general-purpose framework for the automatic discovery and integration of
symbolic rules into pretrained transformer models. First, we extract weak
symbolic rules from low-capacity machine learning models trained on small
amounts of labeled data. Next, we use an attention mechanism to integrate these
rules into high-capacity pretrained transformer models. Last, the
rule-augmented system becomes part of a self-training framework to boost
supervision signal on unlabeled data. These steps can be layered beneath a
variety of existing weak supervision and semi-supervised NLP algorithms in
order to improve performance and interpretability. Experiments across nine
sequence classification and relation extraction tasks suggest that ARI can
improve state-of-the-art methods with no manual effort and minimal
computational overhead.",Semi-supervised learning,
Measuring the Impact of Individual Domain Factors in Self-Supervised Pre-Training,"Human speech data comprises a rich set of domain factors such as accent,
syntactic and semantic variety, or acoustic environment. Previous work explores
the effect of domain mismatch in automatic speech recognition between
pre-training and fine-tuning as a whole but does not dissect the contribution
of individual factors. In this paper, we present a controlled study to better
understand the effect of such factors on the performance of pre-trained
representations on automatic speech recognition. To do so, we pre-train models
either on modified natural speech or synthesized audio, with a single domain
factor modified, and then measure performance after fine-tuning. Results show
that phonetic domain factors play an important role during pre-training while
grammatical and syntactic factors are far less important. To our knowledge,
this is the first study to better understand the domain characteristics of
pre-trained sets in self-supervised pre-training for speech.",self-supervised pre-training,
Label uncertainty-guided multi-stream model for disease screening,"The annotation of disease severity for medical image datasets often relies on
collaborative decisions from multiple human graders. The intra-observer
variability derived from individual differences always persists in this
process, yet the influence is often underestimated. In this paper, we cast the
intra-observer variability as an uncertainty problem and incorporate the label
uncertainty information as guidance into the disease screening model to improve
the final decision. The main idea is dividing the images into simple and hard
cases by uncertainty information, and then developing a multi-stream network to
deal with different cases separately. Particularly, for hard cases, we
strengthen the network's capacity in capturing the correct disease features and
resisting the interference of uncertainty. Experiments on a fundus image-based
glaucoma screening case study show that the proposed model outperforms several
baselines, especially in screening hard cases.",disease screening,
NPBG++: Accelerating Neural Point-Based Graphics,"We present a new system (NPBG++) for the novel view synthesis (NVS) task that
achieves high rendering realism with low scene fitting time. Our method
efficiently leverages the multiview observations and the point cloud of a
static scene to predict a neural descriptor for each point, improving upon the
pipeline of Neural Point-Based Graphics in several important ways. By
predicting the descriptors with a single pass through the source images, we
lift the requirement of per-scene optimization while also making the neural
descriptors view-dependent and more suitable for scenes with strong
non-Lambertian effects. In our comparisons, the proposed system outperforms
previous NVS approaches in terms of fitting and rendering runtimes while
producing images of similar quality.",novel view synthesis,
WikiLink: an encyclopedia-based semantic network for design innovation,"Data-driven design and innovation is a process to reuse and provide valuable
and useful information. However, existing semantic networks for design
innovation is built on data source restricted to technological and scientific
information. Besides, existing studies build the edges of a semantic network
only on either statistical or semantic relationships, which is less likely to
make full use of the benefits from both types of relationships and discover
implicit knowledge for design innovation. Therefore, we constructed WikiLink, a
semantic network based on Wikipedia. Combined weight which fuses both the
statistic and semantic weights between concepts is introduced in WikiLink, and
four algorithms are developed for inspiring new ideas. Evaluation experiments
are undertaken and results show that the network is characterised by high
coverage of terms, relationships and disciplines, which proves the network's
effectiveness and usefulness. Then a demonstration and case study results
indicate that WikiLink can serve as an idea generation tool for innovation in
conceptual design. The source code of WikiLink and the backend data are
provided open-source for more users to explore and build on.",design innovation,
Cross-Architecture Knowledge Distillation,"Transformer attracts much attention because of its ability to learn global
relations and superior performance. In order to achieve higher performance, it
is natural to distill complementary knowledge from Transformer to convolutional
neural network (CNN). However, most existing knowledge distillation methods
only consider homologous-architecture distillation, such as distilling
knowledge from CNN to CNN. They may not be suitable when applying to
cross-architecture scenarios, such as from Transformer to CNN. To deal with
this problem, a novel cross-architecture knowledge distillation method is
proposed. Specifically, instead of directly mimicking output/intermediate
features of the teacher, partially cross attention projector and group-wise
linear projector are introduced to align the student features with the
teacher's in two projected feature spaces. And a multi-view robust training
scheme is further presented to improve the robustness and stability of the
framework. Extensive experiments show that the proposed method outperforms 14
state-of-the-arts on both small-scale and large-scale datasets.",knowledge distillation,
WIDER & CLOSER: Mixture of Short-channel Distillers for Zero-shot Cross-lingual Named Entity Recognition,"Zero-shot cross-lingual named entity recognition (NER) aims at transferring
knowledge from annotated and rich-resource data in source languages to
unlabeled and lean-resource data in target languages. Existing mainstream
methods based on the teacher-student distillation framework ignore the rich and
complementary information lying in the intermediate layers of pre-trained
language models, and domain-invariant information is easily lost during
transfer. In this study, a mixture of short-channel distillers (MSD) method is
proposed to fully interact the rich hierarchical information in the teacher
model and to transfer knowledge to the student model sufficiently and
efficiently. Concretely, a multi-channel distillation framework is designed for
sufficient information transfer by aggregating multiple distillers as a
mixture. Besides, an unsupervised method adopting parallel domain adaptation is
proposed to shorten the channels between the teacher and student models to
preserve domain-invariant features. Experiments on four datasets across nine
languages demonstrate that the proposed method achieves new state-of-the-art
performance on zero-shot cross-lingual NER and shows great generalization and
compatibility across languages and fields.",cross-lingual named entity recognition,
Towards an efficient Iris Recognition System on Embedded Devices,"Iris Recognition (IR) is one of the market's most reliable and accurate
biometric systems. Today, it is challenging to build NIR-capturing devices
under the premise of hardware price reduction. Commercial NIR sensors are
protected from modification. The process of building a new device is not
trivial because it is required to start from scratch with the process of
capturing images with quality, calibrating operational distances, and building
lightweight software such as eyes/iris detectors and segmentation sub-systems.
In light of such challenges, this work aims to develop and implement iris
recognition software in an embedding system and calibrate NIR in a contactless
binocular setup. We evaluate and contrast speed versus performance obtained
with two embedded computers and infrared cameras. Further, a lightweight
segmenter sub-system called ""Unet_xxs"" is proposed, which can be used for iris
semantic segmentation under restricted memory resources.",iris recognition,
Temporal Link Prediction via Adjusted Sigmoid Function and 2-Simplex Sructure,"Temporal network link prediction is an important task in the field of network
science, and has a wide range of applications in practical scenarios. Revealing
the evolutionary mechanism of the network is essential for link prediction, and
how to effectively utilize the historical information for temporal links and
efficiently extract the high-order patterns of network structure remains a
vital challenge. To address these issues, in this paper, we propose a novel
temporal link prediction model with adjusted sigmoid function and 2-simplex
structure (TLPSS). The adjusted sigmoid decay mode takes the active, decay and
stable states of edges into account, which properly fits the life cycle of
information. Moreover, the latent matrix sequence is introduced, which is
composed of simplex high-order structure, to enhance the performance of link
prediction method since it is highly feasible in sparse network. Combining the
life cycle of information and simplex high-order structure, the overall
performance of TLPSS is achieved by satisfying the consistency of temporal and
structural information in dynamic networks. Experimental results on six
real-world datasets demonstrate the effectiveness of TLPSS, and our proposed
model improves the performance of link prediction by an average of 15% compared
to other baseline methods.",temporal link prediction,
An Overview & Analysis of Sequence-to-Sequence Emotional Voice Conversion,"Emotional voice conversion (EVC) focuses on converting a speech utterance
from a source to a target emotion; it can thus be a key enabling technology for
human-computer interaction applications and beyond. However, EVC remains an
unsolved research problem with several challenges. In particular, as speech
rate and rhythm are two key factors of emotional conversion, models have to
generate output sequences of differing length. Sequence-to-sequence modelling
is recently emerging as a competitive paradigm for models that can overcome
those challenges. In an attempt to stimulate further research in this promising
new direction, recent sequence-to-sequence EVC papers were systematically
investigated and reviewed from six perspectives: their motivation, training
strategies, model architectures, datasets, model inputs, and evaluation
methods. This information is organised to provide the research community with
an easily digestible overview of the current state-of-the-art. Finally, we
discuss existing challenges of sequence-to-sequence EVC.",Emotional voice conversion,
Testing the limits of natural language models for predicting human language judgments,"Neural network language models can serve as computational hypotheses about
how humans process language. We compared the model-human consistency of diverse
language models using a novel experimental approach: controversial sentence
pairs. For each controversial sentence pair, two language models disagree about
which sentence is more likely to occur in natural text. Considering nine
language models (including n-gram, recurrent neural networks, and transformer
models), we created hundreds of such controversial sentence pairs by either
selecting sentences from a corpus or synthetically optimizing sentence pairs to
be highly controversial. Human subjects then provided judgments indicating for
each pair which of the two sentences is more likely. Controversial sentence
pairs proved highly effective at revealing model failures and identifying
models that aligned most closely with human judgments. The most
human-consistent model tested was GPT-2, although experiments also revealed
significant shortcomings of its alignment with human perception.",predicting human judgments,
Consistency and Accuracy of CelebA Attribute Values,"We report the first systematic analysis of the experimental foundations of
facial attribute classification. Two annotators independently assigning
attribute values shows that only 12 of 40 common attributes are assigned values
with >= 95% consistency, and three (high cheekbones, pointed nose, oval face)
have essentially random consistency. Of 5,068 duplicate face appearances in
CelebA, attributes have contradicting values on from 10 to 860 of the 5,068
duplicates. Manual audit of a subset of CelebA estimates error rates as high as
40% for (no beard=false), even though the labeling consistency experiment
indicates that no beard could be assigned with >= 95% consistency. Selecting
the mouth slightly open (MSO) for deeper analysis, we estimate the error rate
for (MSO=true) at about 20% and (MSO=false) at about 2%. A corrected version of
the MSO attribute values enables learning a model that achieves higher accuracy
than previously reported for MSO. Corrected values for CelebA MSO are available
at https://github.com/HaiyuWu/CelebAMSO.",facial attribute classification,
Measurement-Consistent Networks via a Deep Implicit Layer for Solving Inverse Problems,"End-to-end deep neural networks (DNNs) have become the state-of-the-art
(SOTA) for solving inverse problems. Despite their outstanding performance,
during deployment, such networks are sensitive to minor variations in the
testing pipeline and often fail to reconstruct small but important details, a
feature critical in medical imaging, astronomy, or defence. Such instabilities
in DNNs can be explained by the fact that they ignore the forward measurement
model during deployment, and thus fail to enforce consistency between their
output and the input measurements. To overcome this, we propose a framework
that transforms any DNN for inverse problems into a measurement-consistent one.
This is done by appending to it an implicit layer (or deep equilibrium network)
designed to solve a model-based optimization problem. The implicit layer
consists of a shallow learnable network that can be integrated into the
end-to-end training while keeping the SOTA DNN fixed. Experiments on
single-image super-resolution show that the proposed framework leads to
significant improvements in reconstruction quality and robustness over the SOTA
DNNs.",Inverse Problems Solving,
Fingerprint Image-Quality Estimation and its Application to Multialgorithm Verification,"Signal-quality awareness has been found to increase recognition rates and to
support decisions in multisensor environments significantly. Nevertheless,
automatic quality assessment is still an open issue. Here, we study the
orientation tensor of fingerprint images to quantify signal impairments, such
as noise, lack of structure, blur, with the help of symmetry descriptors. A
strongly reduced reference is especially favorable in biometrics, but less
information is not sufficient for the approach. This is also supported by
numerous experiments involving a simpler quality estimator, a trained method
(NFIQ), as well as the human perception of fingerprint quality on several
public databases. Furthermore, quality measurements are extensively reused to
adapt fusion parameters in a monomodal multialgorithm fingerprint recognition
environment. In this study, several trained and nontrained score-level fusion
schemes are investigated. A Bayes-based strategy for incorporating experts past
performances and current quality conditions, a novel cascaded scheme for
computational efficiency, besides simple fusion rules, is presented. The
quantitative results favor quality awareness under all aspects, boosting
recognition rates and fusing differently skilled experts efficiently as well as
effectively (by training).",Signal Quality Assessment,
$\textit{latent}$-GLAT: Glancing at Latent Variables for Parallel Text Generation,"Recently, parallel text generation has received widespread attention due to
its success in generation efficiency. Although many advanced techniques are
proposed to improve its generation quality, they still need the help of an
autoregressive model for training to overcome the one-to-many multi-modal
phenomenon in the dataset, limiting their applications. In this paper, we
propose $\textit{latent}$-GLAT, which employs the discrete latent variables to
capture word categorical information and invoke an advanced curriculum learning
technique, alleviating the multi-modality problem. Experiment results show that
our method outperforms strong baselines without the help of an autoregressive
model, which further broadens the application scenarios of the parallel
decoding paradigm.",parallel text generation,
Cooperative Artificial Intelligence,"In the future, artificial learning agents are likely to become increasingly
widespread in our society. They will interact with both other learning agents
and humans in a variety of complex settings including social dilemmas. We argue
that there is a need for research on the intersection between game theory and
artificial intelligence, with the goal of achieving cooperative artificial
intelligence that can navigate social dilemmas well. We consider the problem of
how an external agent can promote cooperation between artificial learners by
distributing additional rewards and punishments based on observing the actions
of the learners. We propose a rule for automatically learning how to create the
right incentives by considering the anticipated parameter updates of each
agent. Using this learning rule leads to cooperation with high social welfare
in matrix games in which the agents would otherwise learn to defect with high
probability. We show that the resulting cooperative outcome is stable in
certain games even if the planning agent is turned off after a given number of
episodes, while other games require ongoing intervention to maintain mutual
cooperation. Finally, we reflect on what the goals of multi-agent reinforcement
learning should be in the first place, and discuss the necessary building
blocks towards the goal of building cooperative AI.",Cooperative agents,
